ϣⲓⲏⲧ	place	F
ϩⲉⲣⲙⲏⲥ	place	M
ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	place	F	# same as ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ
ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	place	F
ϩⲣⲱⲙⲏ	place	F
ⲁⲣⲓⲙⲁⲑⲁⲓⲟⲥ	place	M
ⲃⲁⲃⲩⲗⲱⲛ	place	F
ⲃⲏⲇⲥⲁⲓⲇⲁ	place	F
ⲃⲏⲑⲁⲛⲓⲁ	place	F
ⲅⲁⲃⲃⲁⲑⲁ	place	F
ⲅⲁⲗⲓⲗⲁⲓⲁ	place	F
ⲅⲟⲗⲅⲟⲑⲁ	place	M
ⲅⲟⲙⲟⲣⲣⲁ	place	F
ⲇⲁⲗⲙⲁⲛⲟⲩⲑⲁ	place	F
ⲇⲁⲙⲁⲥⲕⲟⲥ	place	M
ⲇⲉⲕⲁⲡⲟⲗⲓⲥ	place	F
ⲕⲩⲡⲣⲟⲥ	place	M
ⲉⲫⲉⲥⲟⲥ	place	M
ⲓⲟⲩⲇⲁⲓⲁ	place	F
ⲓⲥⲣⲁⲏⲗ	place	M	# same as ⲉⲓⲥⲣⲁⲏⲗ
ⲕⲁⲡⲁⲣⲛⲁⲟⲩⲙ	place	M
ⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ	place	M	# same as ⲕⲁⲡⲁⲣⲛⲁⲟⲩⲙ
ⲕⲉⲥⲁⲣⲓⲁ	place	F
ⲕⲏⲙⲉ	place	F
ⲗⲁⲟⲇⲓⲕⲓⲁ	place	F
ⲉⲓⲥⲣⲁⲏⲗ	place	M
ⲛⲁⲍⲁⲣⲉⲑ	place	M
ⲛⲉⲁⲡⲟⲗⲓⲥ	place	F
ⲡ ⲁⲛⲧⲣⲓⲁⲥ	place	M
ⲡⲁⲣⲓⲅⲟⲣⲓ	place	M
ⲡ ⲡⲟⲛⲧⲟⲥ	place	M
ⲣⲁⲕⲟⲧⲉ	place	F
ⲥⲉⲗⲉⲩⲕⲓⲁ	place	F
ⲥⲓⲛⲁ	place	F
ⲥⲓⲱⲛ	place	F
ⲥⲟⲇⲟⲙⲁ	place	F
ⲥⲩⲣⲓⲁ	place	F
ⲧ ⲁⲛⲧⲓⲟⲭⲓⲁ	place	F
ⲧⲁⲣⲥⲟⲥ	place	M
ⲧⲣⲱⲁⲥ	place	F
ⲧⲩⲣⲟⲥ	place	M
ⲭⲁⲛⲁⲁⲛ	place	F
